"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
1,"glmmTMB",1,1,0.010899502704364,NA,NA,0.0403639642457134,1.22508372483069,NA,NA,NA,FALSE,12345,NA
1,"Lin",1,0,0.00589883750374015,1,0.5,0.0329512758730912,2.5,0.5,-0.000918188653538207,0.00663156278621448,NA,12345,NA
1,"Bondell",1,0.4,0.00762738465111111,1,0.5,0.035420749131569,0.4,0.4,0.00650063671407484,0,NA,12345,NA
2,"glmmTMB",1,1,0.00680990822811752,NA,NA,0.0389369798852498,0.001,NA,NA,NA,FALSE,12345,NA
2,"Lin",1,0,0.000227073723762131,1,0.5,0.0292944306316816,2.5,1,0,0.000555037342934952,NA,12345,NA
2,"Bondell",1,0.2,0.00495323731633333,1,0,0.0347203812067069,0.4,0.4,0,0,NA,12345,NA
3,"glmmTMB",1,1,0.0100030168585387,NA,NA,0.0321906220293291,1.22508372483069,NA,NA,NA,FALSE,12345,NA
3,"Lin",1,0,0.00174079133651582,1,0.5,0.036040091198471,2.5,0.1,-0.000292936528550195,0.00597467648600894,NA,12345,NA
3,"Bondell",1,0.2,0.000949457248666667,1,0.5,0.0238304253009756,0.4,0.4,0.00256145994776028,0,NA,12345,NA
4,"glmmTMB",1,1,0.00522739203153103,NA,NA,0.0252138399518414,0.001,NA,NA,NA,FALSE,12345,NA
4,"Lin",0.666666666666667,0,0.0297635751296891,1,0,0.101181449282155,10,1,-1.86344948607426e-05,-0.00207971911623436,NA,12345,NA
4,"Bondell",1,0.2,0.008209197855,1,0,0.0369873326651918,0.4,0.4,0,0,NA,12345,NA
5,"glmmTMB",1,1,0.00569141636732398,NA,NA,0.0255824065776686,0.0935955520254055,NA,NA,NA,FALSE,12345,NA
5,"Lin",0.666666666666667,0,0.0306994320506606,1,1,0.0840218590954744,10,0.1,0.0141943062767339,0.0276317397487175,NA,12345,NA
5,"Bondell",1,0.2,0.0125964411565556,1,1,0.047067445558374,0.4,0.4,0.0124687166128136,0.0147027069151378,NA,12345,NA
6,"glmmTMB",1,1,0.00279470708200077,NA,NA,0.021851935763029,0.001,NA,NA,NA,FALSE,12345,NA
