"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","glmmTMB_collapsed_vars"
1,"glmmTMB",0.666666666666667,0.8,0.0555993384521347,NA,NA,0.110030501470977,15.8158385678152,NA,NA,NA,TRUE,"x1"
1,"Lin",0.666666666666667,0,0.0282017381368177,1,1,0.0744021095700904,10,1,0.00530299880180948,0.0496717920042512,NA,NA
1,"Bondell",0.666666666666667,0,0.0359555566072222,1,0,0.0672221182497264,0.2,0.2,0,0,NA,NA
2,"glmmTMB",1,1,0.0129012416031417,NA,NA,0.0551175140547612,0.112775423252096,NA,NA,NA,FALSE,""
2,"Lin",1,0,0.00136200799870191,1,0.5,0.0295984336909378,2.5,0.1,0.00624749681985246,-0.0031811054793983,NA,NA
2,"Bondell",1,0,0.00605859331411111,1,0.5,0.0373822816530511,0.4,0.4,0.00502722856362317,0,NA,NA
3,"glmmTMB",1,1,0.00698425462754131,NA,NA,0.0228486005123489,1.22508372483069,NA,NA,NA,FALSE,""
3,"Lin",1,0,0.000969682377914121,1,0,0.0169190968482457,2.5,2.5,0,0,NA,NA
3,"Bondell",1,0,0.00365156673666667,1,0,0.0190959285095096,0.4,0.4,0,0,NA,NA
4,"glmmTMB",0.666666666666667,0.8,0.0285703822501059,NA,NA,0.0825681435846316,20.6184125759897,NA,NA,NA,TRUE,"x1"
4,"Lin",0.666666666666667,0,0.0279008865860592,1,0.5,0.090718758212608,2.5,0.5,-0.000259541881973942,0.00710356880335471,NA,NA
4,"Bondell",1,0.4,0.0254973562282222,1,0.5,0.0772377884747796,0.4,0.4,0.00176719058750152,0,NA,NA
5,"glmmTMB",1,1,0.0133603037467865,NA,NA,0.0522820804073182,1.22508372483069,NA,NA,NA,FALSE,""
5,"Lin",0.666666666666667,0,0.0287530300451181,1,0,0.0885999959990533,5,2.5,0,0,NA,NA
5,"Bondell",1,0.4,0.010540345683,1,0,0.0497084404757999,0.4,0.4,0,0,NA,NA
6,"glmmTMB",1,1,0.00231742821055198,NA,NA,0.0313243419882644,1.22508372483069,NA,NA,NA,FALSE,""
6,"Lin",0.666666666666667,0,0.0307865902736033,1,0.5,0.0849047837909138,10,0.5,0.0225377838752456,-0.00728949829622095,NA,NA
6,"Bondell",1,0.2,0.00101575127511111,1,0.5,0.0314456405037025,0.4,0.4,0.00956278874202306,0,NA,NA
7,"glmmTMB",0.666666666666667,0.6,0.0298764478627086,NA,NA,0.089587083987818,20.6184125759897,NA,NA,NA,TRUE,"x1"
7,"Lin",0.666666666666667,0,0.0279798467932894,1,0.5,0.0979457086832702,2.5,0.1,-0.00219530126349956,0.0553004466613729,NA,NA
7,"Bondell",0.666666666666667,0,0.0341530094912222,1,0,0.0744129517655478,0.2,0.2,0,0,NA,NA
8,"glmmTMB",1,1,0.0335821036407426,NA,NA,0.088466274726537,0.0935955520254055,NA,NA,NA,FALSE,""
8,"Lin",1,0,0.00695813251396999,1,0,0.024693007880851,5,1,0,0,NA,NA
8,"Bondell",1,0,0.0111228926696667,1,0,0.0402678154536026,0.4,0.4,0,0,NA,NA
9,"glmmTMB",1,1,0.00619006478290812,NA,NA,0.0208543630857257,0.001,NA,NA,NA,FALSE,""
9,"Lin",1,0,0.00144842759144863,1,0,0.0175832710273904,5,2.5,0,0,NA,NA
9,"Bondell",1,0.4,0.00301876701933333,1,0.5,0.0212179810637645,0.4,0.4,0.00169079667898069,0,NA,NA
10,"glmmTMB",1,1,0.028242693065556,NA,NA,0.0635355876977354,0.001,NA,NA,NA,FALSE,""
10,"Lin",1,0,0.00192731672701417,1,0.5,0.031463362124708,5,0.1,0.00932801865021571,-0.00417918724329373,NA,NA
10,"Bondell",1,0.2,0.00597141938366667,1,0.5,0.0303281010776116,0.4,0.4,0.00546917375355925,0,NA,NA
11,"glmmTMB",1,1,0.0131469542775341,NA,NA,0.0421928536441464,0.001,NA,NA,NA,FALSE,""
11,"Lin",0.666666666666667,0,0.0284680565469788,1,1,0.08676751897393,5,0.5,0.0346446707629537,0.00212573150449333,NA,NA
11,"Bondell",1,0.4,0.0245139851567778,1,0.5,0.0724184609544057,0.4,0.4,0.00637895180757233,0,NA,NA
12,"glmmTMB",1,1,0.00643522259012584,NA,NA,0.025073278681284,1.22508372483069,NA,NA,NA,FALSE,""
12,"Lin",1,0,0.00856822055269154,1,0,0.0294872113769971,2.5,2.5,0,0,NA,NA
12,"Bondell",1,0.4,0.00516394592788889,1,0.5,0.0242240062355502,0.4,0.4,0.000262033933633802,0,NA,NA
13,"glmmTMB",0.666666666666667,1,0.0285595575474334,NA,NA,0.0773116692858099,20.6184125759897,NA,NA,NA,TRUE,"x1"
13,"Lin",0.666666666666667,0,0.0282635106264965,1,0,0.0768378276821154,2.5,2.5,0,0,NA,NA
13,"Bondell",0.666666666666667,0.6,0.0284442746826667,1,0,0.0763751870978234,0.4,0.4,0,0,NA,NA
14,"glmmTMB",1,1,0.0279442819752275,NA,NA,0.0739524709978404,0.001,NA,NA,NA,FALSE,""
14,"Lin",1,0,0.00275748237798165,1,0,0.0197414259221453,5,2.5,0,0,NA,NA
14,"Bondell",1,0.2,0.00640828137977778,1,0,0.0274913652803726,0.4,0.4,0,0,NA,NA
15,"glmmTMB",1,1,0.0209109001309149,NA,NA,0.053026033585063,0.001,NA,NA,NA,FALSE,""
15,"Lin",0.666666666666667,0,0.0280875865142738,1,0,0.0668707936502847,10,2.5,0,0,NA,NA
15,"Bondell",1,0.2,0.00826620054233333,1,0.5,0.0309231196464124,0.4,0.4,0.0040400050278631,0,NA,NA
16,"glmmTMB",1,1,0.00624187450788969,NA,NA,0.0290759648760824,0.112775423252096,NA,NA,NA,FALSE,""
16,"Lin",1,0,0.0029997112037078,1,0,0.0253405079164829,5,5,0,0,NA,NA
16,"Bondell",1,0.2,0.000349463134222223,1,0.5,0.0185957849045486,0.4,0.4,0.000879359634281333,0,NA,NA
